PartE: 
(43756, 'DEF  ', 70637, 'ABC  ')
(95011, 'DEF  ', 20288, 'ABC  ')
(20407, 'DEF  ', 93928, 'ABC  ')
(54499, 'ABC  ', 99438, 'DEF  ')
(25874, 'DEF  ', 14821, 'ABC  ')
(66993, 'DEF  ', 82716, 'ABC  ')
(53428, 'ABC  ', 28511, 'DEF  ')
(83350, 'DEF  ', 74975, 'ABC  ')
(57368, 'ABC  ', 56508, 'DEF  ')
(12041, 'ABC  ', 26751, 'DEF  ')
(63705, 'DEF  ', 33224, 'ABC  ')
(25949, 'DEF  ', 39376, 'ABC  ')
(94669, 'ABC  ', 81155, 'DEF  ')
(90564, 'ABC  ', 56956, 'DEF  ')
(58269, 'DEF  ', 99678, 'ABC  ')
(86996, 'DEF  ', 84311, 'ABC  ')
(43317, 'ABC  ', 54655, 'DEF  ')
(20347, 'DEF  ', 25745, 'ABC  ')
(34391, 'DEF  ', 10919, 'ABC  ')
(65701, 'DEF  ', 20288, 'ABC  ')
(52629, 'ABC  ', 79867, 'DEF  ')
(20062, 'DEF  ', 26665, 'ABC  ')
(31165, 'ABC  ', 99653, 'DEF  ')
(13448, 'ABC  ', 67752, 'DEF  ')
(54569, 'ABC  ', 55750, 'DEF  ')
(49652, 'DEF  ', 58008, 'ABC  ')
(92401, 'DEF  ', 25611, 'ABC  ')
(57665, 'ABC  ', 36806, 'DEF  ')
(36037, 'DEF  ', 71217, 'ABC  ')
(44239, 'DEF  ', 99320, 'ABC  ')
(87101, 'ABC  ', 75718, 'DEF  ')
(49079, 'ABC  ', 22684, 'DEF  ')
(37457, 'ABC  ', 19432, 'DEF  ')
(47739, 'DEF  ', 62652, 'ABC  ')
(81785, 'DEF  ', 62782, 'ABC  ')
(51747, 'ABC  ', 26665, 'DEF  ')
(99320, 'ABC  ', 37253, 'DEF  ')
(65186, 'ABC  ', 60825, 'DEF  ')
(76971, 'ABC  ', 63030, 'DEF  ')
(94509, 'ABC  ', 20503, 'DEF  ')
(91747, 'DEF  ', 85344, 'ABC  ')
(40126, 'ABC  ', 91725, 'DEF  ')
(14311, 'DEF  ', 49563, 'ABC  ')
(53328, 'ABC  ', 60339, 'DEF  ')
(37702, 'ABC  ', 35546, 'DEF  ')
(66058, 'DEF  ', 24686, 'ABC  ')
(15549, 'ABC  ', 13733, 'DEF  ')
(38164, 'DEF  ', 42879, 'ABC  ')
(59461, 'ABC  ', 58269, 'DEF  ')
(28690, 'DEF  ', 38632, 'ABC  ')
(44335, 'ABC  ', 36825, 'DEF  ')
(16358, 'ABC  ', 51747, 'DEF  ')
(37048, 'DEF  ', 95658, 'ABC  ')
(47499, 'ABC  ', 70417, 'DEF  ')
(31084, 'ABC  ', 31053, 'DEF  ')
(27966, 'ABC  ', 38306, 'DEF  ')
