PartE: 
(61170, 'DEF  ', 82985, 'ABC  ')
(82985, 'ABC  ', 61170, 'DEF  ')
(20347, 'DEF  ', 25745, 'ABC  ')
(25745, 'ABC  ', 20347, 'DEF  ')
(20347, 'DEF  ', 25745, 'ABC  ')
(25745, 'ABC  ', 20347, 'DEF  ')
(76609, 'DEF  ', 14556, 'ABC  ')
(14556, 'ABC  ', 76609, 'DEF  ')
(33482, 'ABC  ', 60339, 'DEF  ')
(60339, 'DEF  ', 33482, 'ABC  ')
(53328, 'ABC  ', 60339, 'DEF  ')
(33482, 'ABC  ', 60339, 'DEF  ')
(86080, 'ABC  ', 60339, 'DEF  ')
(24449, 'ABC  ', 60339, 'DEF  ')
(60339, 'DEF  ', 53328, 'ABC  ')
(60339, 'DEF  ', 33482, 'ABC  ')
(60339, 'DEF  ', 86080, 'ABC  ')
(60339, 'DEF  ', 24449, 'ABC  ')
(66948, 'DEF  ', 65055, 'ABC  ')
(65055, 'ABC  ', 66948, 'DEF  ')
(65055, 'ABC  ', 45746, 'DEF  ')
(65055, 'ABC  ', 49155, 'DEF  ')
(65055, 'ABC  ', 45746, 'DEF  ')
(65055, 'ABC  ', 78902, 'DEF  ')
(65055, 'ABC  ', 46429, 'DEF  ')
(65055, 'ABC  ', 49155, 'DEF  ')
(45746, 'DEF  ', 65055, 'ABC  ')
(49155, 'DEF  ', 65055, 'ABC  ')
(45746, 'DEF  ', 65055, 'ABC  ')
(78902, 'DEF  ', 65055, 'ABC  ')
(46429, 'DEF  ', 65055, 'ABC  ')
(49155, 'DEF  ', 65055, 'ABC  ')
(66948, 'DEF  ', 65055, 'ABC  ')
(65055, 'ABC  ', 66948, 'DEF  ')
(34807, 'ABC  ', 19058, 'DEF  ')
(34807, 'ABC  ', 56335, 'DEF  ')
(19058, 'DEF  ', 34807, 'ABC  ')
(56335, 'DEF  ', 34807, 'ABC  ')
(34807, 'ABC  ', 92219, 'DEF  ')
(92219, 'DEF  ', 34807, 'ABC  ')
(19318, 'DEF  ', 10753, 'ABC  ')
(10753, 'ABC  ', 19318, 'DEF  ')
(29750, 'ABC  ', 99335, 'DEF  ')
(99335, 'DEF  ', 29750, 'ABC  ')
(12745, 'ABC  ', 75358, 'DEF  ')
(75358, 'DEF  ', 12745, 'ABC  ')
(12745, 'ABC  ', 75358, 'DEF  ')
(75358, 'DEF  ', 12745, 'ABC  ')
(89292, 'ABC  ', 12041, 'DEF  ')
(12041, 'DEF  ', 89292, 'ABC  ')
(39392, 'ABC  ', 47315, 'DEF  ')
(47315, 'DEF  ', 39392, 'ABC  ')
(95161, 'DEF  ', 66058, 'ABC  ')
(95243, 'DEF  ', 66058, 'ABC  ')
(66058, 'ABC  ', 95161, 'DEF  ')
(66058, 'ABC  ', 95243, 'DEF  ')
(66058, 'ABC  ', 95243, 'DEF  ')
(95243, 'DEF  ', 66058, 'ABC  ')
(68588, 'ABC  ', 67925, 'DEF  ')
(67925, 'DEF  ', 68588, 'ABC  ')
(68588, 'ABC  ', 67925, 'DEF  ')
(67925, 'DEF  ', 68588, 'ABC  ')
(88774, 'DEF  ', 85335, 'ABC  ')
(88774, 'DEF  ', 85335, 'ABC  ')
(85335, 'ABC  ', 88774, 'DEF  ')
(85335, 'ABC  ', 88774, 'DEF  ')
(85335, 'ABC  ', 88774, 'DEF  ')
(85335, 'ABC  ', 88774, 'DEF  ')
(88774, 'DEF  ', 85335, 'ABC  ')
(88774, 'DEF  ', 85335, 'ABC  ')
(85335, 'ABC  ', 88774, 'DEF  ')
(85335, 'ABC  ', 88774, 'DEF  ')
(88774, 'DEF  ', 85335, 'ABC  ')
(88774, 'DEF  ', 85335, 'ABC  ')
(72222, 'DEF  ', 60725, 'ABC  ')
(69574, 'DEF  ', 60725, 'ABC  ')
(60725, 'ABC  ', 72222, 'DEF  ')
(60725, 'ABC  ', 69574, 'DEF  ')
(18250, 'DEF  ', 60725, 'ABC  ')
(19762, 'DEF  ', 60725, 'ABC  ')
(60725, 'ABC  ', 18250, 'DEF  ')
(60725, 'ABC  ', 19762, 'DEF  ')
(60725, 'ABC  ', 69574, 'DEF  ')
(60725, 'ABC  ', 80456, 'DEF  ')
(60725, 'ABC  ', 72222, 'DEF  ')
(69574, 'DEF  ', 60725, 'ABC  ')
(80456, 'DEF  ', 60725, 'ABC  ')
(72222, 'DEF  ', 60725, 'ABC  ')
(41818, 'DEF  ', 52018, 'ABC  ')
(15417, 'DEF  ', 52018, 'ABC  ')
(52018, 'ABC  ', 41818, 'DEF  ')
(52018, 'ABC  ', 15417, 'DEF  ')
(52018, 'ABC  ', 92194, 'DEF  ')
(92194, 'DEF  ', 52018, 'ABC  ')
(52018, 'ABC  ', 41818, 'DEF  ')
(41818, 'DEF  ', 52018, 'ABC  ')
(99446, 'ABC  ', 35539, 'DEF  ')
(35539, 'DEF  ', 99446, 'ABC  ')
(39999, 'DEF  ', 98471, 'ABC  ')
(59055, 'DEF  ', 98471, 'ABC  ')
(98471, 'ABC  ', 39999, 'DEF  ')
(98471, 'ABC  ', 59055, 'DEF  ')
(39999, 'DEF  ', 98471, 'ABC  ')
(98471, 'ABC  ', 39999, 'DEF  ')
(40649, 'ABC  ', 74107, 'DEF  ')
(74107, 'DEF  ', 40649, 'ABC  ')
(40649, 'ABC  ', 74107, 'DEF  ')
(85054, 'ABC  ', 74107, 'DEF  ')
(74107, 'DEF  ', 40649, 'ABC  ')
(74107, 'DEF  ', 85054, 'ABC  ')
(41784, 'DEF  ', 91057, 'ABC  ')
(41784, 'DEF  ', 91057, 'ABC  ')
(91057, 'ABC  ', 41784, 'DEF  ')
(91057, 'ABC  ', 41784, 'DEF  ')
(37048, 'DEF  ', 95658, 'ABC  ')
(95658, 'ABC  ', 37048, 'DEF  ')
(95658, 'ABC  ', 37048, 'DEF  ')
(37048, 'DEF  ', 95658, 'ABC  ')
(37048, 'DEF  ', 95658, 'ABC  ')
(95658, 'ABC  ', 37048, 'DEF  ')
(94416, 'ABC  ', 97256, 'DEF  ')
(97256, 'DEF  ', 94416, 'ABC  ')
(93599, 'ABC  ', 81425, 'DEF  ')
(81425, 'DEF  ', 93599, 'ABC  ')
(81425, 'DEF  ', 93599, 'ABC  ')
(93599, 'ABC  ', 81425, 'DEF  ')
(93599, 'ABC  ', 81425, 'DEF  ')
